id,nct_id,outcome_id,non_inferiority_type,non_inferiority_description,param_type,param_value,dispersion_type,dispersion_value,p_value_modifier,p_value,ci_n_sides,ci_percent,ci_lower_limit,ci_upper_limit,ci_upper_limit_na_comment,p_value_description,method,method_description,estimate_description,groups_description,other_analysis_description,ci_upper_limit_raw,ci_lower_limit_raw,p_value_raw
52707842,NCT02059512,103640314,SUPERIORITY,,,,,,,0.24,,,,,,,Kruskal-Wallis,,,,,,,0.24
52588874,NCT00113880,103396380,SUPERIORITY_OR_OTHER,,,,,,,0.01,,,,,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment",Exact method or Cox model,,,"Breast lump/cyst event rates were presented per 1,000 person-months. If the control group has no event, the RR or HR is not estimable.",,,,0.01
52707843,NCT02059512,103640315,SUPERIORITY,,,,,,,0.1,,,,,,,Kruskal-Wallis,,,Length of hospital stay.,,,,0.1
52707844,NCT02059512,103640315,SUPERIORITY,,,,,,,0.1,,,,,,,Kruskal-Wallis,,,Length of stay in the intensive care unit.,,,,0.1
52707845,NCT02059512,103640316,SUPERIORITY,,,,,,,0.4,,,,,,,Kruskal-Wallis,,,,,,,0.4
52707846,NCT02059512,103640316,SUPERIORITY,,,,,,,0.8,,,,,,,Kruskal-Wallis,,,Analysis of leukocytes 0-6 hours of the postoperative period.,,,,0.8
52707847,NCT02059512,103640316,SUPERIORITY,,,,,,,0.9,,,,,,,Kruskal-Wallis,,,Analysis of leukocytes 12-18 hours of the postoperative period.,,,,0.9
52469284,NCT00151476,103160411,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,5.52,,,,,,95.0,3.48,14.49,,,,,Kaplan-Meier Estimate of Time to Event (months).,Time to FAP-related surgical events (months); 25th percentile.,,14.49,3.48,
52469285,NCT00151476,103160412,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,5.98,,,,,,95.0,0.0,33.77,,,,,Kaplan-Meier Estimate of Time to Event (months).,Time to FAP-related surgical events (months); 25th percentile.,,33.77,0.00,
52469286,NCT00151476,103160412,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,19.81,,,,,,95.0,0.0,33.77,,,,,Kaplan-Meier Estimate of Time to Event (months).,Time to FAP-related surgical events (months); 25th percentile.,,33.77,0.00,
52528429,NCT02016625,103259264,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),122.68,STANDARD_ERROR_OF_MEAN,23.9,,0.4181,TWO_SIDED,90.0,104.8,143.6,,,ANOVA,,gMean ratio of cyclo+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of cyclo+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,143.60,104.80,0.4181
52528430,NCT02016625,103259265,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),127.41,STANDARD_ERROR_OF_MEAN,16.8,,0.6207,TWO_SIDED,90.0,114.453,141.827,,,ANOVA,,gMean ratio of tac+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of tac+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,141.827,114.453,0.6207
52528431,NCT02016625,103259266,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),136.85,STANDARD_ERROR_OF_MEAN,22.4,,0.8592,TWO_SIDED,90.0,118.683,157.793,,,ANOVA,,gMean ratio of tac+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of tac+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,157.793,118.683,0.8592
52528432,NCT02016625,103259267,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),99.15,STANDARD_ERROR_OF_MEAN,28.5,,0.0269,TWO_SIDED,90.0,82.857,118.644,,,ANOVA,,gMean ratio of tac+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of tac+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,118.644,82.857,0.0269
52528433,NCT02016625,103259268,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),93.85,STANDARD_ERROR_OF_MEAN,25.1,,0.0493,TWO_SIDED,90.0,80.059,110.022,,,ANOVA,,gMean ratio of tac+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of tac+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,110.022,80.059,0.0493
52528434,NCT02016625,103259269,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),99.54,STANDARD_ERROR_OF_MEAN,10.0,,0.0,TWO_SIDED,90.0,93.375,106.115,,,ANOVA,,gMean ratio of tac+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of tac+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,106.115,93.375,0.0000
52528435,NCT02016625,103259270,NON_INFERIORITY_OR_EQUIVALENCE,"H0: ratio is outside of interval (80%, 125%) VS H1: ratio is inside of interval (80%, 125%)",gMean ratio (%),96.16,STANDARD_ERROR_OF_MEAN,12.9,,0.0008,TWO_SIDED,90.0,88.53,104.45,,,ANOVA,,gMean ratio of tac+FDV to FDV treatment. The standard error of the mean actually is the geometric coefficient of variation (%).,"gMean ratio of tac+FDV to FDV treatment. The statistical model used for the analysis of primary endpoints was an analysis of variance (ANOVA) model on the logarithmic scale. This model accounted for variation from 'subject' and 'treatment' effects. The 'subject' effect was considered to be random, whereas the 'treatment' effect was considered as fixed.",,104.45,88.53,0.0008
52528436,NCT03989440,103259307,SUPERIORITY,,LS Mean Difference,0.54,,,,0.59,TWO_SIDED,95.0,-1.48,2.55,,,Mixed Models Analysis,,,,,2.55,-1.48,0.59
52528437,NCT03989440,103259308,SUPERIORITY,,LS Mean Difference,-1.56,,,,0.13,TWO_SIDED,95.0,-3.62,0.5,,,Mixed Models Analysis,,,,,0.50,-3.62,0.13
52469287,NCT00151476,103160413,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,137.34,,,,,,95.0,104.73,183.48,,,,,Kaplan-Meier Estimate of Time to Event (months).,"Time to FAP-related surgical events (months); 25th percentile. Index date based on most recent colon and or rectum adenomatous polyps evaluation, most recent duodenal adenomatous polyps evaluation, and most recent desmoids tumors evaluation for Matched Control, Not Matched Celecoxib, and All Celecoxib Treated, respectively.",,183.48,104.73,
52528438,NCT03989440,103259309,SUPERIORITY,,LS Mean Difference,-1.16,,,,0.16,TWO_SIDED,95.0,-2.81,0.5,,,Mixed Models Analysis,,,,,0.50,-2.81,0.16
52469288,NCT00151476,103160413,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,169.94,,,,,,95.0,104.73,183.48,,,,,Kaplan-Meier Estimate of Time to Event (months).,Time to FAP-related surgical events (months); 25th percentile.,,183.48,104.73,
52528439,NCT03989440,103259310,SUPERIORITY,,% Difference in responder rate,-9.3,,,,0.68,TWO_SIDED,95.0,-43.3,25.4,,,Fisher Exact,,,,,25.4,-43.3,0.68
52588875,NCT00113880,103396380,SUPERIORITY_OR_OTHER,,,,,,,0.02,,,,,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment.",Exact method or Cox model,,,"Breast lump/cyst event rates were presented per 1,000 person-months. If the control group has no event, the RR or HR is not estimable.",,,,0.02
52707848,NCT02059512,103640316,SUPERIORITY,,,,,,,0.2,,,,,,,Kruskal-Wallis,,,Analysis of leukocytes 18-24 hours of the postoperative period.,,,,0.2
52707849,NCT02059512,103640316,SUPERIORITY,,,,,,,0.5,,,,,,,Kruskal-Wallis,,,Analysis of leukocytes 48 hours of the postoperative period.,,,,0.5
52707850,NCT02059512,103640316,SUPERIORITY,,,,,,,0.4,,,,,,,Kruskal-Wallis,,,Analysis of leukocytes 72 hours of the postoperative period.,,,,0.4
52528440,NCT03265249,103259311,SUPERIORITY,,Median Difference (Final Values),5.7,,,,0.8,TWO_SIDED,95.0,-17.5,29.0,,,Mixed Models Analysis,,,,,29,-17.5,0.80
52528441,NCT01277523,103259331,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.111,STANDARD_ERROR_OF_MEAN,0.055,,0.0457,TWO_SIDED,95.0,0.002,0.22,,"Stepwise testing of the null hypothesis was used to test the efficacy of Tio R5 and then Tio R2.5, each over placebo.",Mixed Models Analysis,,Difference calculated as Tio R2.5 minus placebo,,,0.220,0.002,0.0457
52528442,NCT01277523,103259331,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.09,STANDARD_ERROR_OF_MEAN,0.055,,0.1039,TWO_SIDED,95.0,-0.019,0.198,,"Stepwise testing of the null hypothesis was used to test the efficacy of Tio R5 and then Tio R2.5, each over placebo.",Mixed Models Analysis,,Difference calculated as Tio R5 minus placebo,,,0.198,-0.019,0.1039
52528443,NCT01277523,103259332,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.115,STANDARD_ERROR_OF_MEAN,0.059,,0.0509,TWO_SIDED,95.0,0.0,0.231,,"Stepwise testing of the null hypothesis was used to test the efficacy of Tio R5 and then Tio R2.5, each over placebo.",Mixed Models Analysis,,Difference calculated as Tio R2.5 minus placebo,,,0.231,-0.000,0.0509
52528444,NCT01277523,103259332,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.054,STANDARD_ERROR_OF_MEAN,0.058,,0.3605,TWO_SIDED,95.0,-0.061,0.168,,"Stepwise testing of the null hypothesis was used to test the efficacy of Tio R5 and then Tio R2.5, each over placebo.",Mixed Models Analysis,,Difference calculated as Tio R5 minus placebo,,,0.168,-0.061,0.3605
52528445,NCT01277523,103259333,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.091,STANDARD_ERROR_OF_MEAN,0.059,,0.1264,TWO_SIDED,95.0,-0.026,0.207,,,Mixed Models Analysis,,Difference calculated as Tio R2.5 minus placebo,,,0.207,-0.026,0.1264
52528446,NCT01277523,103259333,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.063,STANDARD_ERROR_OF_MEAN,0.059,,0.2845,TWO_SIDED,95.0,-0.053,0.179,,,Mixed Models Analysis,,Difference calculated as Tio R5 minus placebo,,,0.179,-0.053,0.2845
52528447,NCT01277523,103259334,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.113,STANDARD_ERROR_OF_MEAN,0.053,,0.0338,TWO_SIDED,95.0,0.009,0.217,,,Mixed Models Analysis,,Difference calculated as Tio R2.5 minus placebo,,,0.217,0.009,0.0338
52588876,NCT00113880,103396380,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),1.59,,,,0.02,TWO_SIDED,95.0,0.64,3.92,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment.","Regression, Cox",,,"Mastitis event rates were presented per 1,000 person-months.",,3.92,0.64,0.02
52528448,NCT01277523,103259334,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.087,STANDARD_ERROR_OF_MEAN,0.053,,0.0999,TWO_SIDED,95.0,-0.017,0.191,,,Mixed Models Analysis,,Difference calculated as Tio R5 minus placebo,,,0.191,-0.017,0.0999
52528449,NCT01277523,103259335,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.087,STANDARD_ERROR_OF_MEAN,0.057,,0.1252,TWO_SIDED,95.0,-0.024,0.198,,,Mixed Models Analysis,,Difference calculated as Tio R2.5 minus placebo,,,0.198,-0.024,0.1252
52528450,NCT01277523,103259335,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.052,STANDARD_ERROR_OF_MEAN,0.056,,0.3549,TWO_SIDED,95.0,-0.058,0.163,,,Mixed Models Analysis,,Difference calculated as Tio R5 minus placebo,,,0.163,-0.058,0.3549
52588877,NCT00113880,103396380,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),7.35,,,,0.01,TWO_SIDED,95.0,2.2,24.54,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment.","Regression, Cox",,,"Mastitis event rates were presented per 1,000 person-months.",,24.54,2.20,0.01
52588878,NCT00113880,103396380,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),7.17,,,,0.01,TWO_SIDED,95.0,2.13,24.13,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment.","Regression, Cox",,,"Mastitis event rates were presented per 1,000 person-months.",,24.13,2.13,0.01
52528451,NCT01277523,103259336,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.118,STANDARD_ERROR_OF_MEAN,0.088,,0.1819,TWO_SIDED,95.0,-0.055,0.292,,,Mixed Models Analysis,,Difference calculated as Tio R2.5 minus placebo,,,0.292,-0.055,0.1819
52588879,NCT00113880,103396381,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),0.05,,,,0.03,TWO_SIDED,95.0,0.0,0.79,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment.","Regression, Cox",,,"Heart murmur event rates were presented per 1,000 person-months.",,0.79,0.00,0.03
52528452,NCT01277523,103259336,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.053,STANDARD_ERROR_OF_MEAN,0.088,,0.5448,TWO_SIDED,95.0,-0.119,0.226,,,Mixed Models Analysis,,Difference calculated as Tio R5 minus placebo,,,0.226,-0.119,0.5448
52528453,NCT01277523,103259338,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.058,STANDARD_ERROR_OF_MEAN,0.082,,0.4762,TWO_SIDED,95.0,-0.102,0.219,,,Mixed Models Analysis,,Difference calculated as Tio R2.5 minus placebo,,,0.219,-0.102,0.4762
52588880,NCT00113880,103396381,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),0.13,,,,0.05,TWO_SIDED,95.0,0.02,1.0,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment","Regression, Cox",,,"Heart murmur event rates were presented per 1,000 person-months.",,1.00,0.02,0.05
52528454,NCT01277523,103259338,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.036,STANDARD_ERROR_OF_MEAN,0.081,,0.6558,TWO_SIDED,95.0,-0.123,0.196,,,Mixed Models Analysis,,Difference calculated as Tio R5 minus placebo,,,0.196,-0.123,0.6558
52528455,NCT01277523,103259340,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),-0.001,STANDARD_ERROR_OF_MEAN,0.153,,0.996,TWO_SIDED,95.0,-0.301,0.3,,,Mixed Models Analysis,,,,,0.300,-0.301,0.9960
52528456,NCT01277523,103259340,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),-0.058,STANDARD_ERROR_OF_MEAN,0.151,,0.703,TWO_SIDED,95.0,-0.355,0.239,,,Mixed Models Analysis,,,,,0.239,-0.355,0.7030
52528457,NCT01277523,103259341,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),-0.032,STANDARD_ERROR_OF_MEAN,0.094,,0.7309,TWO_SIDED,95.0,-0.217,0.153,,,Mixed Models Analysis,,,,,0.153,-0.217,0.7309
52528458,NCT01277523,103259341,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),-0.049,STANDARD_ERROR_OF_MEAN,0.093,,0.5954,TWO_SIDED,95.0,-0.232,0.133,,,Mixed Models Analysis,,,,,0.133,-0.232,0.5954
52528459,NCT01277523,103259342,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.089,STANDARD_ERROR_OF_MEAN,0.083,,0.2841,TWO_SIDED,95.0,-0.074,0.252,,,Mixed Models Analysis,,,,,0.252,-0.074,0.2841
52528460,NCT01277523,103259342,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.021,STANDARD_ERROR_OF_MEAN,0.082,,0.795,TWO_SIDED,95.0,-0.14,0.182,,,Mixed Models Analysis,,,,,0.182,-0.140,0.7950
52528461,NCT01277523,103259343,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),1.06,,,,0.9671,TWO_SIDED,95.0,0.07,16.95,,,"Regression, Cox",,,,,16.95,0.07,0.9671
52528462,NCT01277523,103259343,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),2.06,,,,0.5557,TWO_SIDED,95.0,0.19,22.7,,,"Regression, Cox",,,,,22.70,0.19,0.5557
52528463,NCT01277523,103259344,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),0.75,,,,0.3567,TWO_SIDED,95.0,0.41,1.38,,,"Regression, Cox",,,,,1.38,0.41,0.3567
52528464,NCT01277523,103259344,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),0.6,,,,0.1168,TWO_SIDED,95.0,0.32,1.14,,,"Regression, Cox",,,,,1.14,0.32,0.1168
52528465,NCT00914810,103259352,SUPERIORITY_OR_OTHER,,Mean Difference (Net),0.3,,,,0.55,TWO_SIDED,95.0,-0.8,1.5,,,"t-test, 2 sided",,,,,1.5,-0.8,0.55
52528466,NCT00914810,103259353,SUPERIORITY_OR_OTHER,,Mean Difference (Net),10.5,,,<,0.0001,TWO_SIDED,95.0,7.4,13.6,,,"t-test, 2 sided",,,,,13.6,7.4,<0.0001
52528467,NCT01925404,103259395,SUPERIORITY,"We fitted difference-in-differences (DID) models between the two measurement waves and four study arms. The effect of the intervention was modeled as the wave by study arm interaction. All models used random effects to account for intra-class correlation within each park as well as fixed effects to account for observation times (time of day, weekend versus weekdays).",,,,,,0.0063,,,,,,Significance threshold. p=0.05,negative binomial distribution,,,Comparison of change from baseline;,,,,.0063
52528468,NCT00706641,103259424,SUPERIORITY_OR_OTHER,,,,,,,0.003,TWO_SIDED,,,,,,paired t-test,,,Tumor samples from 20 patients were analyzed for expression of pSFK. A paired t-Test was used to calculate the significance of the difference in expression levels before and after treatment.,,,,0.003
52528469,NCT00706641,103259427,SUPERIORITY_OR_OTHER,,,,,,,0.2,TWO_SIDED,,,,,,paired t-test,,,,,,,0.20
52528470,NCT00706641,103259428,SUPERIORITY_OR_OTHER,,,,,,,0.42,TWO_SIDED,,,,,,paired t-test,,,,,,,0.42
52528471,NCT02436759,103259462,SUPERIORITY,,,,,,<,0.0001,,,,,,,ANCOVA,Two-sided t-test with treatment as a fixed factor and baseline score as a covariate,,,,,,<0.0001
52528472,NCT02436759,103259463,SUPERIORITY,,,,,,,0.12,,,,,,,ANCOVA,Two-sided t-test,,,,,,0.12
52588881,NCT00113880,103396381,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),0.11,,,,0.04,TWO_SIDED,95.0,0.01,0.86,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment.","Regression, Cox",,,"Heart murmur event rates were presented per 1,000 person-months.",,0.86,0.01,0.04
52588882,NCT00113880,103396381,SUPERIORITY_OR_OTHER,,Hazard Ratio (HR),0.37,,,,0.01,TWO_SIDED,95.0,0.2,0.7,,"Due to the exploratory nature of the study and the lack of formal hypothesis testing, multiple CIs were constructed without multiplicity adjustment.","Regression, Cox",,Population was the 18-49 year age group.,"Pregnancy exam/supervision event rates were presented per 1,000 person-months.",,0.70,0.20,0.01
52528473,NCT03054857,103259464,SUPERIORITY,,Risk Ratio (RR),1.532,,,,0.289,TWO_SIDED,95.0,0.689,3.406,,,Chi-squared,,,,,3.406,0.689,0.289
52528474,NCT03054857,103259465,SUPERIORITY,,Risk Ratio (RR),1.329,,,,0.636,TWO_SIDED,95.0,0.409,4.319,,,Chi-squared,,,,,4.319,0.409,0.636
52528475,NCT03054857,103259467,SUPERIORITY,,Mean Difference (Final Values),-1.053,STANDARD_DEVIATION,0.792,,0.187,TWO_SIDED,95.0,-2.626,0.52,,,"t-test, 2 sided",,,,,0.52,-2.626,0.187
52528476,NCT03054857,103259468,SUPERIORITY,,Mean Difference (Final Values),-4.644,STANDARD_DEVIATION,7.606,,0.543,TWO_SIDED,95.0,-19.74,10.45,,,"t-test, 2 sided",,,,,10.45,-19.74,0.543
52707851,NCT02059512,103640316,SUPERIORITY,,,,,,,0.6,,,,,,,Kruskal-Wallis,,,Analysis of leukocytes 96 hours of the postoperative period/,,,,0.6
52469289,NCT00151476,103160414,SUPERIORITY_OR_OTHER_LEGACY,,Kaplan-Meier Estimate of Time to Event,11.28,,,,,,95.0,9.07,38.24,,,,,Kaplan-Meier Estimate of Time to Event (months).,Time to FAP-related surgical events (months); 25th percentile.,,38.24,9.07,
