id,nct_id,ctgov_group_code,result_type,title,description,outcome_id
325026461,NCT00443534,OG000,Outcome,Sunitinib,"Participants received sunitinib (SU011248) capsules in one of the standard sunitinib schedules: Schedule 4/2 \[4 weeks on study drug, 2 weeks off treatment\]; Schedule 2/1 \[2 weeks on study drug, 1 week off treatment\]; Schedule 2/2 \[2 weeks on study drug, 2 weeks off treatment\]; or continuous dosing). The starting dose for all dosing regimens except continuous dosing was 50 milligram (mg) orally once daily (37.5 mg orally once daily for continuous dosing).",103527279.0
325026462,NCT00443534,OG000,Outcome,Sunitinib,"Participants received sunitinib (SU011248) capsules in one of the standard sunitinib schedules: Schedule 4/2 \[4 weeks on study drug, 2 weeks off treatment\]; Schedule 2/1 \[2 weeks on study drug, 1 week off treatment\]; Schedule 2/2 \[2 weeks on study drug, 2 weeks off treatment\]; or continuous dosing). The starting dose for all dosing regimens except continuous dosing was 50 milligram (mg) orally once daily (37.5 mg orally once daily for continuous dosing).",103527280.0
325026463,NCT00443534,OG000,Outcome,Sunitinib,"Participants received sunitinib (SU011248) capsules in one of the standard sunitinib schedules: Schedule 4/2 \[4 weeks on study drug, 2 weeks off treatment\]; Schedule 2/1 \[2 weeks on study drug, 1 week off treatment\]; Schedule 2/2 \[2 weeks on study drug, 2 weeks off treatment\]; or continuous dosing). The starting dose for all dosing regimens except continuous dosing was 50 milligram (mg) orally once daily (37.5 mg orally once daily for continuous dosing).",103527281.0
325423808,NCT03431831,OG006,Outcome,FA-Contrave,"These participants will receive usual care and prescription of Contrave for weight loss. They will be seen weekly for the first 5 weeks and monthly for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.",103647844.0
325423809,NCT03431831,OG007,Outcome,FA- Contrave and Counseling,"These participants will receive usual care of diet and physical activity recommendations and Contrave prescription and counseling (motivational interviewing interventions weekly for the first 5 weeks and then monthly for 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.

Contrave and Counseling: This group of participants will receive a combination of all the above interventions including diet/physical activity prescription, motivational interviewing and Contrave.",103647844.0
325423810,NCT03431831,OG000,Outcome,FA+ Intervention Control,"All participants will receive diet/physical intervention. One arm will receive diet/physical activity intervention alone as a Intervention/usual care condition.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.",103647845.0
325423811,NCT03431831,OG001,Outcome,FA+ Counselling,"These participants will receive usual care and counseling in the form of motivational interviewing weekly with goal setting for the first 5 weeks and monthly intervention for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.",103647845.0
325425416,NCT01314872,EG011,Reported Event,Extension Study: Vibegron 50 mg,"Participants in Base Study/Part 1 who received vibegron 50 mg continued their treatment in the Extension Study. In addition, participants in Base Study/Part 1 who received vibegron 3 mg received vibegron 50 mg in the Extension Study. Also, participants in Base Study/Part 1 who received vibegron 50 mg + tolterodine ER for 4 weeks, followed by vibegron 50 mg alone for 4 weeks, remained on vibegron 50 mg in the Extension Study. In the extension, participants received one vibegron 50 mg tablet, one placebo matching vibegron tablet, and one placebo matching tolterodine ER capsule, taken orally each morning, for 52 weeks.",
324230238,NCT04537923,OG000,Outcome,Pooled 5 mg/10 mg/15 mg Tirzepatide,Participants received either 5 mg or 10 mg or 15 mg tirzepatide administered SC once a week.,103286928.0
324628244,NCT04398368,OG000,Outcome,Prevention (Gemcitabine Hydrochloride),"Patients receive gemcitabine hydrochloride intravesically for at least 1 hour at the time of RNU.

Gemcitabine Hydrochloride: Given intravesically",103409076.0
324628245,NCT04398368,OG000,Outcome,Prevention (Gemcitabine Hydrochloride),"Patients receive gemcitabine hydrochloride intravesically for at least 1 hour at the time of RNU.

Gemcitabine Hydrochloride: Given intravesically",103409077.0
324628246,NCT04398368,OG000,Outcome,Prevention (Gemcitabine Hydrochloride),"Patients receive gemcitabine hydrochloride intravesically for at least 1 hour at the time of RNU.

Gemcitabine Hydrochloride: Given intravesically",103409078.0
324628247,NCT04398368,OG000,Outcome,Prevention (Gemcitabine Hydrochloride),"Patients receive gemcitabine hydrochloride intravesically for at least 1 hour at the time of RNU.

Gemcitabine Hydrochloride: Given intravesically",103409079.0
324628248,NCT04398368,OG000,Outcome,Prevention (Gemcitabine Hydrochloride),"Patients receive gemcitabine hydrochloride intravesically for at least 1 hour at the time of RNU.

Gemcitabine Hydrochloride: Given intravesically",103409080.0
324628249,NCT04398368,OG000,Outcome,Prevention (Gemcitabine Hydrochloride),"Patients receive gemcitabine hydrochloride intravesically for at least 1 hour at the time of RNU.

Gemcitabine Hydrochloride: Given intravesically",103409081.0
324628250,NCT03024996,OG000,Outcome,Atezolizumab,Participants received atezolizumab 1200 milligrams (mg) intravenous (IV) infusion every 3 weeks (q3w) for 16 cycles (each cycle=21 days) or 1 year (whichever occurred first).,103409082.0
324628251,NCT03024996,OG001,Outcome,Placebo,Participants received placebo matching to atezolizumab q3w for 16 cycles (each cycle=21 days) or 1 year (whichever occurred first).,103409082.0
325423812,NCT03431831,OG002,Outcome,FA+ Contrave,"These participants will receive usual care and prescription of Contrave for weight loss. They will be seen weekly for the first 5 weeks and monthly for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.",103647845.0
325423813,NCT03431831,OG003,Outcome,FA+ Contrave and Counseling,"These participants will receive usual care of diet and physical activity recommendations and Contrave prescription and counseling (motivational interviewing interventions weekly for the first 5 weeks and then monthly for 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.

Contrave and Counseling: This group of participants will receive a combination of all the above interventions including diet/physical activity prescription, motivational interviewing and Contrave.",103647845.0
325423814,NCT03431831,OG004,Outcome,FA- Intervention Control,"All participants will receive diet/physical intervention. One arm will receive diet/physical activity intervention alone as a Intervention/usual care condition.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.",103647845.0
325423815,NCT03431831,OG005,Outcome,FA- Counseling,"These participants will receive usual care and counseling in the form of motivational interviewing weekly with goal setting for the first 5 weeks and monthly intervention for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.",103647845.0
325423816,NCT03431831,OG006,Outcome,FA-Contrave,"These participants will receive usual care and prescription of Contrave for weight loss. They will be seen weekly for the first 5 weeks and monthly for the final 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.",103647845.0
325423817,NCT03431831,OG007,Outcome,FA- Contrave and Counseling,"These participants will receive usual care of diet and physical activity recommendations and Contrave prescription and counseling (motivational interviewing interventions weekly for the first 5 weeks and then monthly for 5 months.

Intervention Control: diet recommendations of 1200 calorie limit for women daily and 1400 limit for men daily. Decreased foods that are high sugar, highly processed, low nutrient simple carbohydrates. Increased foods that are whole foods, lean proteins, complex carbohydrates and healthy fats. Switch from high calorie drinks to water for beverages.

Counselling: Usual care as listed in comparator intervention plus motivational interviewing to identify areas of barriers and how to overcome them, to help patient set achievable food, physical activity and beverage goals for themselves weekly and monthly. To identify whether knowledge or confidence counseling is more important for each participant and follow up with them. To help them learn self-management techniques for overeating.

Contrave: In addition to usual care as described in the comparator intervention, these participants will be prescribed Contrave and raised to the therapeutic dosage within one month. They will be monitored closely for side effects and meds adjusted accordingly.

Contrave and Counseling: This group of participants will receive a combination of all the above interventions including diet/physical activity prescription, motivational interviewing and Contrave.",103647845.0
324230239,NCT04537923,OG001,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286928.0
324230240,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286929.0
325423818,NCT01620190,OG000,Outcome,Treatment (Paclitaxel Albumin-stabilized Nanoparticle Formula),"Patients receive paclitaxel albumin-stabilized nanoparticle formulation IV over 30 minutes on days 1, 8, and 15. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.",103647846.0
325423819,NCT01620190,OG000,Outcome,Treatment (Paclitaxel Albumin-stabilized Nanoparticle Formula),"Patients receive paclitaxel albumin-stabilized nanoparticle formulation IV over 30 minutes on days 1, 8, and 15. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.",103647847.0
325423820,NCT01620190,OG000,Outcome,Treatment (Paclitaxel Albumin-stabilized Nanoparticle Formula),"Patients receive paclitaxel albumin-stabilized nanoparticle formulation IV over 30 minutes on days 1, 8, and 15. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.",103647848.0
325423821,NCT01620190,OG000,Outcome,Treatment (Paclitaxel Albumin-stabilized Nanoparticle Formula),"Patients receive paclitaxel albumin-stabilized nanoparticle formulation IV over 30 minutes on days 1, 8, and 15. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.",103647849.0
325423822,NCT01620190,OG000,Outcome,Treatment (Paclitaxel Albumin-stabilized Nanoparticle Formula),"Patients receive paclitaxel albumin-stabilized nanoparticle formulation IV over 30 minutes on days 1, 8, and 15. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.",103647850.0
325423823,NCT00685399,OG000,Outcome,Cohort 1,Participants were administered with AIN457 (Sp2/0-derived) 10 mg/kg i.v. dose on Day 1 and Day 22.,103647851.0
325423824,NCT00685399,OG001,Outcome,Cohort 2,"Participants were administered with AIN457 (Sp2/0 or CHO derived) 10 mg/kg, (CHO-derived) 3 mg/kg or (CHO derived) 1 mg/kg i.v. dose on Day 1 and if needed second dose of AIN457 10 mg/kg i.v. dose either on Day 15 or Day 22. 3 participants from cohort 1 rolled on into this cohort.",103647851.0
324230241,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286929.0
324230242,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286929.0
324230243,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286929.0
324230244,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286930.0
324230245,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286930.0
324230246,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286930.0
324230247,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286930.0
324230248,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286931.0
324230249,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286931.0
324230250,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286931.0
325423825,NCT00685399,OG002,Outcome,Cohort 3,Participants were administered with AIN457 10 mg/kg i.v. dose on Day 1 and Day 22.,103647851.0
324230251,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286931.0
324230252,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286932.0
324230253,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286932.0
325423826,NCT00685399,OG003,Outcome,Cohort 4,"Participants were administered with AIN457 10 mg/kg, i.v. (with or without a short course of corticosteroids) once a flare had occurred, or periodically at a frequency of not more than once per month at the discretion of the investigator.",103647851.0
325423827,NCT00685399,OG004,Outcome,Cohort 5,"Participants were administered with AIN457 30 mg/kg single i.v. dose. A second dose was given when all 4 participants completed at least 29 days, and the 30 mg/kg dose was well tolerated by all.",103647851.0
325423828,NCT00685399,OG005,Outcome,Cohort 6 Arm 1,"Participants were administered with AIN457 300 mg s.c. and saline i.v. infusion every two weeks (Days 1, 15, 29, and 43).",103647851.0
325423829,NCT00685399,OG006,Outcome,Cohort 6 Arm 2,"Participants were administered with AIN457 10 mg/kg i.v. and s.c. saline injections every two weeks (Days 1, 15, 29, and 43).",103647851.0
325423830,NCT00685399,OG007,Outcome,Cohort 6 Arm 3,Participants were administered with AIN457 30 mg/kg i.v. and s.c. saline injections every 4 weeks (Days 1 and 29) and saline i.v. infusions and saline s.c. injections on Days 15 and 43 to maintain masking of treatment groups.,103647851.0
325423831,NCT00685399,OG000,Outcome,Cohort 1,Participants were administered with AIN457 (Sp2/0-derived) 10 mg/kg i.v. dose on Day 1 and Day 22.,103647852.0
325423832,NCT00685399,OG001,Outcome,Cohort 2,"Participants were administered with AIN457 (Sp2/0 or CHO derived) 10 mg/kg, (CHO-derived) 3 mg/kg or (CHO derived) 1 mg/kg i.v. dose on Day 1 and if needed second dose of AIN457 10 mg/kg i.v. dose either on Day 15 or Day 22. 3 participants from cohort 1 rolled on into this cohort.",103647852.0
325423833,NCT00685399,OG002,Outcome,Cohort 3,Participants were administered with AIN457 10 mg/kg i.v. dose on Day 1 and Day 22.,103647852.0
325423834,NCT00685399,OG003,Outcome,Cohort 6 Arm 1,"Participants were administered with AIN457 300 mg s.c. and saline i.v. infusion every two weeks (Days 1, 15, 29, and 43).",103647852.0
325423835,NCT00685399,OG004,Outcome,Cohort 6 Arm 2,"Participants were administered with AIN457 10 mg/kg i.v. and s.c. saline injections every two weeks (Days 1, 15, 29, and 43).",103647852.0
325423836,NCT00685399,OG005,Outcome,Cohort 6 Arm 3,Participants were administered with AIN457 30 mg/kg i.v. and s.c. saline injections every 4 weeks (Days 1 and 29) and saline i.v. infusions and saline s.c. injections on Days 15 and 43 to maintain masking of treatment groups.,103647852.0
325423837,NCT00685399,OG000,Outcome,Cohort 2,"Participants were administered with AIN457 (Sp2/0 or CHO derived) 10 mg/kg, (CHO-derived) 3 mg/kg or (CHO derived) 1 mg/kg i.v. dose on Day 1 and if needed second dose of AIN457 10 mg/kg i.v. dose either on Day 15 or Day 22. 3 participants from cohort 1 rolled on into this cohort.",103647853.0
325423838,NCT00685399,OG001,Outcome,Cohort 3,Participants were administered with AIN457 10 mg/kg i.v. dose on Day 1 and Day 22.,103647853.0
325423839,NCT00685399,OG002,Outcome,Cohort 6 Arm 1,"Participants were administered with AIN457 300 mg s.c. and saline i.v. infusion every two weeks (Days 1, 15, 29, and 43).",103647853.0
325423840,NCT00685399,OG003,Outcome,Cohort 6 Arm 2,"Participants were administered with AIN457 10 mg/kg i.v. and s.c. saline injections every two weeks (Days 1, 15, 29, and 43).",103647853.0
324230254,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286932.0
324230255,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286932.0
324230256,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286933.0
324230257,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286933.0
324230258,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286933.0
325026464,NCT00443534,OG000,Outcome,Sunitinib,"Participants received sunitinib (SU011248) capsules in one of the standard sunitinib schedules: Schedule 4/2 \[4 weeks on study drug, 2 weeks off treatment\]; Schedule 2/1 \[2 weeks on study drug, 1 week off treatment\]; Schedule 2/2 \[2 weeks on study drug, 2 weeks off treatment\]; or continuous dosing). The starting dose for all dosing regimens except continuous dosing was 50 milligram (mg) orally once daily (37.5 mg orally once daily for continuous dosing).",103527282.0
325026465,NCT04607291,OG000,Outcome,Health Services Research (Witness CARES Services) Intervention,"Patients who are not prepared for a colonoscopy or stool test receive educational materials, messages, and videos electronically or by mail with information about colorectal screening and are followed up by phone within 2 weeks. Patients desiring colonoscopy, receive navigators assistance with obtaining the screening (e.g.,determining gastrointestinal doctor, scheduling appointment, prep materials and process, transportation, escort). Patients desiring a stool test, receive navigators assistance by facilitating fecal tests.

Community Health Service: Receive Witness CARES services

Survey Administration: Ancillary studies",103527283.0
325423841,NCT00685399,OG004,Outcome,Cohort 6 Arm 3,Participants were administered with AIN457 30 mg/kg i.v. and s.c. saline injections every 4 weeks (Days 1 and 29) and saline i.v. infusions and saline s.c. injections on Days 15 and 43 to maintain masking of treatment groups.,103647853.0
324230259,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286933.0
324230260,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286934.0
324230261,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286934.0
324230262,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286934.0
324230263,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286934.0
324230264,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286935.0
324230265,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286935.0
324230266,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286935.0
324230267,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286935.0
324230268,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286936.0
324230269,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286936.0
324230270,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286936.0
324230271,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286936.0
324230272,NCT04537923,OG000,Outcome,5 mg Tirzepatide,Participants received 5 mg tirzepatide administered SC once a week.,103286937.0
324230273,NCT04537923,OG001,Outcome,10 mg Tirzepatide,Participants received 10 mg tirzepatide administered SC once a week.,103286937.0
324230274,NCT04537923,OG002,Outcome,15 mg Tirzepatide,Participants received 15 mg tirzepatide administered SC once a week.,103286937.0
324230275,NCT04537923,OG003,Outcome,Insulin Lispro,Participants received Insulin lispro (U100) administered SC three times a day.,103286937.0
324230276,NCT04690855,OG000,Outcome,Study Treatment Arm,"All patients will be treated with induction talazoparib of 1mg PO daily starting Day 1. Patients will then receive 8 Gy x 3 fractions to 1-4 metastatic lesions beginning Day 12,13, or 14 and given QOD. 840 mg of atezolizumab will be given intravenously (IV) on Day 15 of the 1st cycle and then on Day 1 and Day 15 of the remaining cycles. The sequence of administration is not specified on the days in which talazoparib and atezolizumab are given on the same day. Each cycle equals 28 days. Treatment will continue until progression or severe toxicity.

A safety lead in of up to 6 patients will be performed. Immune-related and non-immune related adverse events will be tracked up to 12 weeks post initiation of atezolizumab, as the majority of treatment-related toxicities from talazoparib, radiation, and atezolizumab occur within this time period.

Talazoparib: Talazoparib 1 mg Orally Day 1 to Day 28

Atezolizumab: Atezolizumab 840 mg IV over 60 minutes Day 15 of Cycle 1 then Day 1 and Day 15 of subsequent Cycles

Radiation: Radiation 8 Gy will be given in 3 fractions QOD beginning Day 12, 13 or 14 of Cycle 1 but 24-72 hours prior to 1st dose of Atezolizumab",103286938.0
